title;start_time;end_time;description;exercise_title;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Bench Press (Barbell);;2;normal;55;8;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Incline Bench Press (Barbell);;0;normal;40;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Incline Bench Press (Barbell);;1;normal;40;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Incline Bench Press (Barbell);;2;normal;40;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Cable Fly Crossovers;;0;normal;10;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Cable Fly Crossovers;;1;normal;10;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Cable Fly Crossovers;;2;normal;15;8;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Chest Dip;;0;normal;;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Chest Dip;;1;normal;;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Chest Dip;;2;normal;;8;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Lateral Raise (Cable);;0;normal;5;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Lateral Raise (Cable);;1;normal;5;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Lateral Raise (Cable);;2;normal;5;12;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Triceps Pushdown;;0;normal;20;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Triceps Pushdown;;1;normal;17.5;10;;;
Pecho-tríceps;11 Dec 2023, 15:09;11 Dec 2023, 16:41;;Triceps Pushdown;;2;normal;17;9;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Pull Up;;0;normal;;7;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Pull Up;;1;normal;;6;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Pull Up;;2;normal;;5;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Chin Up;;0;normal;;7;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Chin Up;;1;normal;;6;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Chin Up;;2;normal;;5;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Inverted Row;;1;normal;;17;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Inverted Row;;2;normal;;16;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Lat Pulldown (Cable);;0;normal;50;12;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Lat Pulldown (Cable);;1;normal;50;12;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Lat Pulldown (Cable);;2;normal;55;9;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Chin Ups (Cable);;0;normal;60;11;;;
Espalda-Bíceps;9 Nov 2023, 11:41;9 Nov 2023, 13:18;;Chin Ups (Cable);;1;normal;60;9;;;
